Desa/Kelurahan,Kode Wilayah,Kecamatan,Jumlah Penduduk,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pegawai Negeri Sipil,Petani/ Pekebun,Karyawan Swasta,Buruh Harian Lepas,Buruh Tani/Perkebunan,Pedagang,Wiraswasta
Pandeyan,3309112007,Ngemplak,8751,1750,734,1679,121,40,2499,761,13,172,436
Kismoyoso,3309112008,Ngemplak,9831,2068,531,1945,58,62,2631,1930,29,57,238
Dibal,3309112009,Ngemplak,7133,1359,927,1410,85,55,1038,1190,53,261,331
Sindon,3309112010,Ngemplak,5712,1257,667,980,56,126,1347,518,167,48,321
Manggung,3309112011,Ngemplak,7602,1661,673,1333,22,123,1828,577,175,133,358
Giriroto,3309112012,Ngemplak,6839,1508,465,1244,17,85,2059,807,13,68,328
Kenteng,3309122001,Nogosari,6515,1272,343,1265,26,389,1635,302,213,33,812
Potronayan,3309122002,Nogosari,6994,1311,684,1340,68,250,1781,695,110,24,384
Sembungan,3309122003,Nogosari,6671,1247,924,1364,31,161,1466,378,84,48,372
Jeron,3309122004,Nogosari,6794,1179,716,1298,49,153,1764,421,74,114,603
Ketitang,3309122005,Nogosari,7388,1296,650,1455,84,127,2109,214,390,31,593
Rembun,3309122006,Nogosari,4831,828,465,891,77,331,1122,133,97,46,544
Guli,3309122007,Nogosari,6326,1118,665,1235,53,263,1333,204,273,67,503
Tegalgiri,3309122008,Nogosari,4384,789,451,770,30,316,1169,360,119,19,212
Bendo,3309122009,Nogosari,2440,400,212,412,29,207,601,147,263,10,56
Keyongan,3309122010,Nogosari,7485,1290,811,1370,44,399,1598,615,544,23,472
Pojok,3309122011,Nogosari,3660,562,310,630,35,578,997,120,102,30,159
Glonggong,3309122012,Nogosari,6178,991,700,1109,77,375,1361,370,326,39,463
Pulutan,3309122013,Nogosari,6017,925,705,1136,34,379,775,96,97,41,1654
Pelem,3309132001,Simo,6066,1271,788,1079,100,48,1088,424,173,98,570
Bendungan,3309132002,Simo,2694,559,232,454,46,403,508,42,68,12,215
Temon,3309132003,Simo,2750,579,313,430,34,146,573,60,337,16,132
Teter,3309132004,Simo,3726,770,542,639,55,185,709,136,189,19,277
Simo,3309132005,Simo,4914,1037,623,881,115,147,1115,198,114,51,278
Walen,3309132006,Simo,3700,872,627,551,45,257,591,146,195,18,209
Pentur,3309132007,Simo,3483,751,501,530,19,109,691,141,442,10,201
Gunung,3309132008,Simo,3746,766,570,537,23,262,681,77,418,13,218
Talakbroto,3309132009,Simo,2440,539,444,383,44,66,478,99,213,3,59
Kedung Lengkong,3309132010,Simo,5272,1328,756,801,58,237,981,322,343,32,207
Blagung,3309132011,Simo,5607,1332,981,898,32,204,1022,319,346,21,243
Sumber,3309132012,Simo,3824,916,760,546,30,146,747,216,162,39,121
Wates,3309132013,Simo,4368,1046,653,623,20,333,781,221,213,20,287
Manyaran,3309142001,Karanggede,4662,945,704,749,13,343,931,311,392,6,139
Sempulur,3309142002,Karanggede,2491,580,296,429,12,81,375,217,187,8,219
Klumpit,3309142003,Karanggede,2222,491,364,346,12,168,237,225,52,1,212
Pinggir,3309142004,Karanggede,2432,515,315,376,7,184,521,84,246,8,108
Bantengan,3309142005,Karanggede,3797,812,582,616,31,106,645,434,86,11,354
Tegalsari,3309142006,Karanggede,3118,707,420,516,33,44,816,124,69,24,155
Sranten,3309142007,Karanggede,3121,654,430,556,57,78,578,102,233,17,234
Grogolan,3309142008,Karanggede,2609,561,503,418,6,246,476,176,61,7,87
Mojosari,3309142009,Karanggede,1303,279,265,198,15,75,189,75,70,3,76
Pengkol,3309142010,Karanggede,3736,812,468,579,17,172,859,148,279,59,211
Karangkepoh,3309142011,Karanggede,2693,494,553,531,18,63,439,243,95,10,135
Sendang,3309142012,Karanggede,4276,948,817,639,39,91,862,443,131,14,145
Kebonan,3309142013,Karanggede,3812,792,488,740,65,20,533,161,61,32,646
Klari,3309142014,Karanggede,3061,691,576,454,11,70,376,356,187,5,261
Bangkok,3309142015,Karanggede,2654,549,397,424,2,362,377,89,150,8,238
Dologan,3309142016,Karanggede,2272,506,241,347,10,197,566,43,249,3,70
Kalangan,3309152001,Klego,4092,801,368,664,9,186,508,63,685,10,758
Sendangrejo,3309152002,Klego,3877,804,442,596,14,831,820,56,135,1,109
Tanjung,3309152003,Klego,5226,1143,497,870,31,371,734,527,559,18,268
Jaten,3309152004,Klego,1873,339,221,322,9,191,440,43,174,5,50
Blumbang,3309152005,Klego,2563,487,181,463,26,357,226,69,92,19,544
Sangge,3309152006,Klego,3654,752,273,559,5,688,914,67,136,4,193
Banyu Urip,3309152007,Klego,4529,957,686,811,55,327,675,181,208,12,427
Bade,3309152008,Klego,4724,1060,822,787,29,121,500,217,715,49,202
Klego,3309152009,Klego,4395,851,682,787,64,141,622,460,107,17,328
Gondanglegi,3309152010,Klego,3517,774,418,593,6,468,881,56,172,4,106
Karanggatak,3309152011,Klego,2440,488,273,406,10,429,297,114,58,22,266
Sumber Agung,3309152012,Klego,5965,1266,1032,1051,39,313,874,58,345,39,756
Karangmojo,3309152013,Klego,4498,739,412,934,33,529,398,42,87,18,1124
Pakel,3309162001,Andong,4105,781,345,705,27,276,529,60,129,50,1041
Gondang Rawe,3309162002,Andong,3445,586,254,644,28,293,484,58,306,10,674
Sempu,3309162003,Andong,8497,1684,868,1453,41,877,1337,110,220,41,1645
Beji,3309162004,Andong,4536,835,593,828,20,327,395,203,88,15,1084
Mojo,3309162005,Andong,6750,1325,670,1334,72,222,788,203,102,59,1645
Senggrong,3309162006,Andong,3090,582,463,548,20,258,550,133,82,23,304
Kedungdowo,3309162007,Andong,3099,550,285,516,14,373,495,45,330,10,376
Kacangan,3309162008,Andong,4807,929,622,897,69,326,820,87,50,26,769
Andong,3309162009,Andong,5116,939,546,959,49,394,631,104,141,45,1120
Munggur,3309162010,Andong,2268,416,313,392,7,255,373,28,78,7,344
Pakang,3309162011,Andong,2065,359,148,358,15,86,232,52,397,10,363
Pranggong,3309162012,Andong,2471,435,210,422,22,387,522,26,238,5,142
Kunti,3309162013,Andong,2842,460,427,576,18,179,695,63,245,8,121
Pelemrejo,3309162014,Andong,2567,452,196,455,17,113,602,17,402,4,216
Semawung,3309162015,Andong,2509,424,521,433,5,236,517,21,43,14,228
Kadipaten,3309162016,Andong,6153,1027,456,1164,19,194,1042,55,602,29,1397
Watugede,3309172001,Kemusu,2720,917,194,155,4,424,397,34,297,3,247
Kedungrejo,3309172002,Kemusu,1786,513,167,125,4,121,173,32,366,2,245
Sarimulyo,3309172003,Kemusu,1922,648,212,118,7,302,197,50,131,3,184
Klewor,3309172004,Kemusu,2842,856,373,224,19,129,500,23,93,4,433
Bawu,3309172005,Kemusu,4974,1732,627,316,3,535,521,154,576,18,348
Kendel,3309172006,Kemusu,5888,2009,370,438,11,716,1071,44,948,7,209
Kemusu,3309172010,Kemusu,4878,1639,590,333,9,668,768,166,150,22,406
Genengsari,3309172011,Kemusu,4389,1339,752,415,24,313,621,367,134,15,207
Kedungmulyo,3309172012,Kemusu,3642,1178,543,270,9,558,442,141,165,6,217
Wonoharjo,3309172013,Kemusu,3028,997,409,206,13,526,416,34,123,2,194
Karangjati,3309182002,Wonosegoro,6036,1333,625,978,30,642,1284,131,216,43,543
Ketoyan,3309182003,Wonosegoro,3519,779,310,533,35,394,626,43,109,10,522
Bolo,3309182004,Wonosegoro,3331,804,272,440,4,535,465,38,82,19,617
Banyusri,3309182005,Wonosegoro,3758,829,343,498,4,525,821,87,150,15,387
Gosono,3309182006,Wonosegoro,2115,421,226,320,6,461,392,30,76,9,125
Wonosegoro,3309182007,Wonosegoro,3148,610,349,570,42,257,661,47,97,33,328
Bandung,3309182008,Wonosegoro,3147,730,270,498,15,569,497,42,73,4,372
Bojong,3309182014,Wonosegoro,4183,794,417,620,1,870,678,67,240,2,447
Kauman,3309182019,Wonosegoro,4594,1367,323,343,7,426,618,102,200,40,1033
Lemahireng,3309182020,Wonosegoro,3301,1013,484,266,4,147,384,249,464,7,214
Guwo,3309182021,Wonosegoro,3639,1087,461,372,13,304,464,43,394,7,396
Sambeng,3309191006,Juwangi,2677,832,550,132,1,336,197,202,254,5,130
Krobokan,3309192001,Juwangi,3150,1053,700,141,5,484,147,85,283,3,202
Ngaren,3309192002,Juwangi,2519,901,607,93,1,384,111,83,59,5,210
Kalimati,3309192003,Juwangi,4199,1328,723,233,9,166,139,237,831,2,418
