Desa/Kelurahan,Kode Wilayah,Kecamatan,Jumlah Penduduk,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pegawai Negeri Sipil,Petani/ Pekebun,Karyawan Swasta,Buruh Harian Lepas,Buruh Tani/Perkebunan,Pedagang,Wiraswasta,cluster,Cluster,Principal Component 1,Principal Component 2,Cluster
Randusari,3309072009,Teras,8769,1584,777,1777,140,334,2477,197,233,129,544,2,2,1.2589440119175606,0.388637840295805,2
Mojolegi,3309072010,Teras,3947,644,425,807,53,78,880,388,77,57,296,1,0,0.042188991029005196,-0.021250066297662906,0
Gumukrejo,3309072011,Teras,2712,518,287,469,24,27,720,252,134,39,69,1,0,-0.04291044329485261,-0.22380577066959517,0
Tawangsari,3309072012,Teras,3431,644,260,653,32,135,808,483,92,50,92,1,0,-0.007066120033090817,-0.10581595657777726,0
Krasak,3309072013,Teras,2791,453,258,549,26,343,734,69,90,28,120,1,0,-0.07716251220137882,-0.1771631194917121,0
Kateguhan,3309082001,Sawit,3433,568,415,681,37,42,734,246,174,131,192,1,0,0.0323727972743626,-0.0876155394921862,0
Manjung,3309082002,Sawit,2430,360,362,480,34,31,600,232,126,39,77,1,0,-0.05380825697964631,-0.25054823399513704,0
Gombang,3309082003,Sawit,2404,377,286,445,23,27,478,181,52,63,319,1,0,-0.05714810764873035,-0.23191976609659914,0
Tegalrejo,3309082004,Sawit,3098,530,339,592,30,22,606,480,78,79,214,1,0,-0.0018610121148410208,-0.13770658778102712,0
Tlawong,3309082005,Sawit,2491,418,231,439,24,93,537,166,193,89,163,1,0,-0.055680380586602185,-0.24757785034625274,0
Jenengan,3309082006,Sawit,2974,499,209,569,36,46,722,343,109,58,295,1,0,-0.02214477700063866,-0.16397461294753013,0
Cepokosawit,3309082007,Sawit,2002,296,235,392,26,40,466,75,133,76,140,1,0,-0.08231052271427819,-0.29938835961282884,0
Kemasan,3309082008,Sawit,3058,473,399,600,34,25,567,104,132,39,554,1,0,-0.014639415724672311,-0.16316377158976142,0
Jatirejo,3309082009,Sawit,2778,441,319,519,29,58,662,188,128,99,159,1,0,-0.024553005208938883,-0.1817632727630159,0
Bendosari,3309082010,Sawit,2613,375,348,518,44,22,589,243,117,24,148,1,0,-0.05157179223900221,-0.241151120606849,0
Karangduren,3309082011,Sawit,2821,417,322,584,56,12,566,238,86,27,339,1,0,-0.035904524771749324,-0.19663591434397026,0
Guwokajen,3309082012,Sawit,2979,457,279,573,38,30,702,356,231,39,149,1,0,-0.026627718192237415,-0.21757443305535257,0
Dukuh,3309092001,Banyudono,3856,770,293,696,68,36,747,564,70,70,317,1,0,0.039093907147186524,-0.03618074207670957,0
Jipangan,3309092002,Banyudono,2784,514,220,448,45,70,653,335,128,33,197,1,0,-0.04749854561934219,-0.21656094521844238,0
Jembungan,3309092003,Banyudono,4255,665,330,819,66,65,948,497,126,86,395,1,0,0.06502918845681549,0.008573014815769497,0
Sambon,3309092004,Banyudono,4085,764,305,778,61,63,1143,375,53,53,266,1,0,0.05152763676311145,0.011657621001184115,0
Kuwiran,3309092005,Banyudono,3803,617,438,767,84,31,847,325,54,52,347,1,0,0.0403241182241576,-0.0314110787585381,0
Cangkringan,3309092006,Banyudono,2353,431,239,449,33,46,665,131,45,39,109,1,0,-0.06818694529385838,-0.23762168704262115,0
Ngaru Aru,3309092007,Banyudono,4193,681,447,870,108,47,934,303,35,36,408,1,0,0.05743794078090181,0.02165850312738199,0
Bendan,3309092008,Banyudono,5222,911,330,1065,92,33,1067,272,17,226,938,2,2,1.072429395049639,-0.032261597644275886,2
Ketaon,3309092009,Banyudono,4359,782,409,801,92,66,1059,296,92,82,424,1,0,0.08050963732812622,0.054276993700951126,0
Banyudono,3309092010,Banyudono,4052,717,356,761,62,20,1080,489,26,69,289,1,0,0.0632994389131698,0.01839915949281795,0
Batan,3309092011,Banyudono,2934,552,308,507,41,18,805,188,32,28,328,1,0,-0.023082136552797783,-0.1522909104266627,0
Denggungan,3309092012,Banyudono,4090,792,432,762,27,37,884,273,133,91,504,1,0,0.06993437691225468,0.009201955724824906,0
Bangak,3309092013,Banyudono,3333,663,390,614,38,53,724,363,49,49,253,1,0,0.006907013768194803,-0.09495660212881213,0
Trayu,3309092014,Banyudono,2682,501,244,481,37,60,653,184,153,49,203,1,0,-0.04536351276390005,-0.21844545790799808,0
Tanjungsari,3309092015,Banyudono,2263,349,256,437,53,38,460,284,123,24,93,1,0,-0.07936366302561493,-0.2921418143022154,0
Canden,3309102001,Sambi,5727,1182,428,1060,28,136,1355,549,250,126,462,2,2,1.0714897928336484,-0.07708628622339336,2
Senting,3309102002,Sambi,3286,666,510,673,27,148,612,153,110,78,196,1,0,0.00694731933676529,-0.0863163489989835,0
Tempursari,3309102003,Sambi,3589,695,238,684,50,70,918,207,363,64,154,1,0,0.014428213160588843,-0.1432521751920604,0
Jatisari,3309102004,Sambi,2531,503,248,480,35,98,664,177,183,16,44,1,0,-0.06662101481667526,-0.2558650617003317,0
Glintang,3309102005,Sambi,2724,507,266,492,20,134,727,116,260,24,89,1,0,-0.05810699120602014,-0.25007342786641557,0
Catur,3309102006,Sambi,2084,353,176,395,49,301,462,67,53,25,57,1,0,-0.1247276628664804,-0.2753289062537566,0
Tawengan,3309102007,Sambi,2307,441,223,439,40,151,489,258,99,8,51,1,0,-0.09341103343546875,-0.27397836049707747,0
Sambi,3309102008,Sambi,5014,942,408,1048,71,160,1033,392,169,86,437,1,0,0.10907517475655526,0.1279533260579228,0
